article_id,source_file,title_raw,label_original,label_name,label_id,target_value,split,title_clean,raw_char_len,clean_char_len,raw_token_len,clean_token_len,clean_is_empty,duplicate_raw_title,duplicate_clean_title
raw_data.xlsx::0,raw_data.xlsx,"""Trùm"" logistics Sotrans lên kế hoạch tăng gấp đôi lợi nhuận lên 214 tỷ đồng",3,positive,2,1.0,train,Trùm logistics Sotrans lên kế_hoạch tăng gấp đôi lợi_nhuận lên 214 tỷ đồng,76,74,15,13,False,False,False
raw_data.xlsx::1,raw_data.xlsx,"ĐHĐCĐ SSI: ""Khen ngợi CTCK thị phần số 1, nhưng không thỏa mãn với vị trí số 2""",2,neutral,1,0.0,train,ĐHĐCĐ SSI Khen_ngợi CTCK thị_phần số 1 nhưng không thoả_mãn với vị_trí số 2,79,75,18,14,False,False,False
raw_data.xlsx::2,raw_data.xlsx,Cổ phiếu nhóm Viettel giảm mạnh dù thị trường lên đỉnh,2,neutral,1,0.0,val,Cổ_phiếu nhóm Viettel giảm mạnh dù thị_trường lên đỉnh,54,54,11,9,False,False,False
raw_data.xlsx::3,raw_data.xlsx,"Cổ phiếu lên đỉnh, con gái chủ tịch Haxaco (HAX) đăng ký bán toàn bộ cổ phiếu",2,neutral,1,0.0,train,Cổ_phiếu lên đỉnh con gái chủ_tịch Haxaco_HAX đăng_ký bán toàn_bộ cổ_phiếu,77,74,17,11,False,False,False
raw_data.xlsx::4,raw_data.xlsx,"FPT: Cổ phiếu bứt phá 59%, lãi ròng 4 tháng đầu năm tăng 20% lên mức 1.245 tỷ đồng",3,positive,2,1.0,train,FPT Cổ_phiếu bứt_phá 59 lãi_ròng 4 tháng đầu năm tăng 20 lên mức 1 245 tỷ đồng,82,78,19,17,False,False,False
raw_data.xlsx::5,raw_data.xlsx,"Soi lợi nhuận quý 1 của các cổ phiếu ""hàng hiệu""",2,neutral,1,0.0,train,Soi lợi_nhuận quý 1 của các cổ_phiếu hàng_hiệu,48,46,11,8,False,False,False
raw_data.xlsx::6,raw_data.xlsx,"SP mua lại 49% cổ phần Skylar từ BCG Energy, xác định Việt Nam thị trường trọng điểm để đầu tư dự án năng lượng tái tạo",3,positive,2,1.0,train,SP mua lại 49 cổ_phần Skylar từ BCG Energy xác_định Việt_Nam thị_trường trọng_điểm để đầu_tư dự_án năng_lượng tái_tạo,119,117,27,18,False,False,False
raw_data.xlsx::7,raw_data.xlsx,DIC Corp (DIG) dự kiến phát hành gần 60 triệu cổ phiếu trả cổ tức năm 2020,3,positive,2,1.0,train,DIC Corp_DIG dự_kiến phát_hành gần 60 triệu cổ_phiếu trả cổ_tức năm 2020,74,72,17,12,False,False,False
raw_data.xlsx::8,raw_data.xlsx,"Sự vực dậy sau hàng thập kỷ của những thương hiệu ""vang bóng một thời""",3,positive,2,1.0,train,Sự vực dậy sau hàng thập_kỷ của những thương_hiệu vang bóng một thời,70,68,15,13,False,False,False
raw_data.xlsx::9,raw_data.xlsx,8 sai lầm kể cả nhà đầu tư chứng khoán lâu năm cũng mắc phải,2,neutral,1,0.0,train,8 sai_lầm kể_cả nhà_đầu_tư chứng_khoán lâu năm cũng mắc phải,60,60,15,10,False,False,False
